Cargo,Trip Number,Truck,Planned Loading Arrival,Loading Arrival,Planned Offloading Arrival,Offloading Arrival,Loading Difference (hrs),Offloading Difference (hrs),Planning Difference(hrs),Time Created,Created by,Customer
235764,196353,88,2011-08-08 11:00:00,2011-08-08 11:04:00,2011-08-10 11:00:00,2011-08-10 08:22:00,0,-1,2,8 August,Jacques Maartens,Monteagle Africa Limited
235801,187195,42,2011-08-08 12:00:00,2011-08-08 14:00:00,2011-08-10 08:00:00,2011-08-10 06:11:00,2,0,2,8 August,Devon Bezuidenhout,Sasko
235808,196421,187,2011-08-08 12:00:00,2011-08-08 16:00:00,2011-08-10 08:00:00,2011-08-09 18:30:00,4,-12,2,8 August,Jacques Maartens,Premier Trunking - Isando
235585,192479,186,2011-08-08 16:00:00,2011-08-08 15:20:00,2011-08-10 08:00:00,2011-08-10 06:37:00,1,-1,72,8 August,Jacques Maartens,Pride Milling - Nigel
235586,192471,190,2011-08-08 16:00:00,2011-08-08 16:41:00,2011-08-10 08:00:00,2011-08-10 07:20:00,1,1,72,8 August,Jacques Maartens,Pride Milling - Nigel
235811,189107,139,2011-08-08 12:00:00,2011-08-08 13:10:00,2011-08-09 10:00:00,2011-08-09 13:10:00,1,3,0,8 August,Jaap Saayman,Omnia Fertiliser
235812,186316,195,2011-08-08 18:00:00,2011-08-08 11:45:00,2011-08-10 08:00:00,2011-08-10 08:57:00,-6,1,6,8 August,Jacques Maartens,Barloworld Logistics  (Illovo)
235814,198003,86,2011-08-08 18:00:00,2011-08-08 14:19:00,2011-08-10 08:00:00,2011-08-10 03:43:00,-2,-4,6,8 August,Jacques Maartens,Illovo Sugar Speed Fleet Noodesburg
235815,A16257,166,2011-08-08 12:00:00,2011-08-08 11:10:00,2011-08-08 20:00:00,2011-08-08 21:25:00,1,1,0,8 August,Kenny Hiscock,Arcelor Mittal
235765,197204,188,2011-08-08 14:00:00,2011-08-08 13:15:00,2011-08-10 08:00:00,2011-08-10 05:50:00,1,-2,5,8 August,Jacques Maartens,Sasko
235816,184405,185,2011-08-08 18:00:00,2011-08-08 19:17:00,2011-08-10 08:00:00,2011-08-10 03:31:00,1,-4,6,8 August,Jacques Maartens,Illovo Sugar Speed Fleet Noodesburg
235817,184017,138,2011-08-09 12:00:00,2011-08-10 18:29:00,2011-08-10 07:00:00,2011-08-11 23:14:00,30,40,24,8 August,Jaap Saayman,Omnia Fertiliser
235818,187174,189,2011-08-08 18:00:00,2011-08-08 13:19:00,2011-08-10 08:00:00,2011-08-10 04:39:00,-3,-3,6,8 August,Jacques Maartens,Illovo Sugar Speed Fleet Noodesburg
235589,191540,76,2011-08-08 12:00:00,2011-08-08 11:40:00,2011-08-10 08:00:00,2011-08-10 07:00:00,0,-1,68,8 August,Jacques Maartens,Hulamin Ext (Midrand)
235819,196422,191,2011-08-08 18:00:00,2011-08-08 17:12:00,2011-08-10 08:00:00,2011-08-10 04:50:00,1,-3,6,8 August,Jacques Maartens,Illovo Sugar Speed Fleet Noodesburg
235820,A16259,163,2011-08-08 14:00:00,2011-08-08 14:30:00,2011-08-09 06:00:00,2011-08-08 21:40:00,1,-8,2,8 August,Kenny Hiscock,Arcelor Mittal
235806,191841,225,2011-08-08 14:00:00,2011-08-08 12:10:00,2011-08-10 08:00:00,2011-08-10 07:32:00,0,0,4,8 August,Jacques Maartens,LA Logistix
235821,F11310,E04,2011-08-08 12:00:00,2011-08-08 17:55:00,2011-08-09 12:00:00,2011-08-09 19:40:00,6,8,1,8 August,Cameron Singh,Engen
235822,F10692,E42,2011-08-08 12:00:00,2011-08-08 17:20:00,2011-08-09 12:00:00,2011-08-10 13:36:00,5,26,1,8 August,Cameron Singh,Engen
235727,189450,169,2011-08-08 14:00:00,2011-08-08 11:33:00,2011-08-10 10:00:00,2011-08-10 07:13:00,-2,-1,5,8 August,Jacques Maartens,Sasko
235823,F11324,E50,2011-08-08 12:00:00,2011-08-08 13:42:00,2011-08-09 12:00:00,2011-08-09 15:40:00,2,4,1,8 August,Cameron Singh,Engen
235794,192325,211,2011-08-08 12:00:00,2011-08-08 11:10:00,2011-08-10 10:00:00,2011-08-10 06:00:00,1,-4,1,8 August,Jacques Maartens,Kempston Logistics East London
235824,F10631,E51,2011-08-08 13:00:00,2011-08-08 20:40:00,2011-08-09 12:00:00,2011-08-09 19:12:00,8,7,2,8 August,Cameron Singh,Engen
233326,180174,213,2011-08-08 14:00:00,2011-08-08 15:24:00,2011-08-10 12:00:00,2011-08-10 06:22:00,1,-4,435,8 August,Jacques Maartens,Floorworx Africa(PTY) LTD
235802,192380,89,2011-08-08 16:00:00,2011-08-08 14:14:00,2011-08-10 09:00:00,2011-08-10 07:00:00,0,-2,6,8 August,Jacques Maartens,Sasko
235734,197234,102,2011-08-08 14:00:00,2011-08-08 14:01:00,2011-08-09 08:00:00,2011-08-10 07:00:00,0,23,6,8 August,Devon Bezuidenhout,Premier Trunking - Isando
235753,186564,101,2011-08-08 11:00:00,2011-08-08 13:35:00,2011-08-08 17:00:00,2011-08-08 15:10:00,3,0,1,8 August,Jacques Maartens,Monteagle Africa Limited
235825,184377,20,2011-08-08 16:00:00,2011-08-08 18:35:00,2011-08-09 12:00:00,2011-08-10 07:00:00,3,19,5,8 August,Jacques Maartens,Transit Freight Co-ordinators
235756,191826,70,2011-08-08 12:00:00,2011-08-08 13:00:00,2011-08-10 06:00:00,2011-08-10 07:20:00,1,1,3,8 August,Devon Bezuidenhout,Monteagle Africa Limited
235587,191846,95,2011-08-08 13:00:00,2011-08-08 14:50:00,2011-08-10 08:00:00,2011-08-10 06:50:00,2,-1,69,8 August,Devon Bezuidenhout,Pride Milling - Nigel
235747,184386,104,2011-08-08 12:00:00,2011-08-08 12:11:00,2011-08-10 08:00:00,2011-08-10 06:30:00,0,0,2,8 August,Devon Bezuidenhout,Tastic Rice
